scenario,region,variables,unit,2022,2025,2030,2035,2040,2045,2050
NZE,JPN,Production|Alu|Secondary Old,ton,0.009,0.008,0.009,0.009,0.01,0.011,0.012
NZE,LAM,Production|Alu|Secondary Old,ton,0.015,0.012,0.013,0.014,0.015,0.017,0.018
NZE,MEA,Production|Alu|Secondary Old,ton,0.005,0.004,0.004,0.005,0.005,0.005,0.006
NZE,OAS,Production|Alu|Secondary Old,ton,0.026,0.042,0.047,0.051,0.055,0.06,0.064
NZE,USA,Production|Alu|Secondary Old,ton,0.041,0.036,0.041,0.045,0.048,0.053,0.056
NZE,CHA,Production|Alu|Secondary New,ton,0.081,0.081,0.081,0.081,0.081,0.081,0.081
NZE,EUR,Production|Alu|Secondary New,ton,0.018,0.018,0.018,0.018,0.018,0.018,0.018
NZE,JPN,Production|Alu|Secondary New,ton,0.004,0.004,0.004,0.004,0.004,0.004,0.004
NZE,LAM,Production|Alu|Secondary New,ton,0.004,0.004,0.004,0.004,0.004,0.004,0.004
NZE,MEA,Production|Alu|Secondary New,ton,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NZE,OAS,Production|Alu|Secondary New,ton,0.041,0.041,0.041,0.041,0.041,0.041,0.041
NZE,USA,Production|Alu|Secondary New,ton,0.018,0.018,0.018,0.018,0.018,0.018,0.018
NZE,CAZ,Production|Copper|Electrorefining,ton,282.33,310.36,398.8,428.82,447.56,426.29,404.5
NZE,CHA,Production|Copper|Electrorefining,ton,8431.22,9268.15,11909.29,12805.76,13365.33,12730.2,12079.4
NZE,EUR,Production|Copper|Electrorefining,ton,1707.84,1877.37,2412.36,2593.95,2707.3,2578.65,2446.82
NZE,IND,Production|Copper|Electrorefining,ton,473.2,520.17,668.4,718.72,750.12,714.48,677.95
NZE,JPN,Production|Copper|Electrorefining,ton,1286.01,1413.67,1816.52,1953.25,2038.61,1941.73,1842.46
NZE,LAM,Production|Copper|Electrorefining,ton,1507.57,1657.22,2129.48,2289.77,2389.83,2276.26,2159.89
NZE,MEA,Production|Copper|Electrorefining,ton,412.74,453.71,583,626.89,654.28,623.19,591.33
NZE,NEU,Production|Copper|Electrorefining,ton,199.68,219.5,282.05,303.28,316.53,301.49,286.07
NZE,OAS,Production|Copper|Electrorefining,ton,1089.63,1197.79,1539.12,1654.98,1727.3,1645.21,1561.11
NZE,REF,Production|Copper|Electrorefining,ton,1583.55,1740.74,2236.8,2405.17,2510.27,2390.98,2268.75
NZE,SSA,Production|Copper|Electrorefining,ton,217.64,239.24,307.41,330.56,345,328.6,311.81
NZE,USA,Production|Copper|Electrorefining,ton,509.79,560.39,720.08,774.29,808.12,769.72,730.37
NZE,CAZ,Production|Copper|Leaching,ton,27.89,30.66,39.39,42.36,44.21,42.11,39.95
NZE,CHA,Production|Copper|Leaching,ton,62.13,68.3,87.77,94.37,98.5,93.81,89.02
NZE,EUR,Production|Copper|Leaching,ton,54.43,59.83,76.88,82.67,86.28,82.18,77.98
NZE,IND,Production|Copper|Leaching,ton,0,0,0,0,0,0,0
NZE,JPN,Production|Copper|Leaching,ton,0,0,0,0,0,0,0
NZE,LAM,Production|Copper|Leaching,ton,2040.93,2243.52,2882.85,3099.86,3235.31,3081.57,2924.03
NZE,MEA,Production|Copper|Leaching,ton,18.29,20.11,25.84,27.79,29,27.62,26.21
NZE,NEU,Production|Copper|Leaching,ton,0.8,0.88,1.13,1.22,1.27,1.21,1.15
NZE,OAS,Production|Copper|Leaching,ton,282.93,311.02,399.65,429.73,448.51,427.19,405.36
NZE,REF,Production|Copper|Leaching,ton,45.51,50.03,64.29,69.13,72.15,68.72,65.21
NZE,SSA,Production|Copper|Leaching,ton,1364.64,1500.11,1927.59,2072.69,2163.26,2060.46,1955.12
NZE,USA,Production|Copper|Leaching,ton,587.87,646.23,830.38,892.89,931.91,887.62,842.24
NZE,CAZ,Production|Copper|Secondary,ton,124.32,130.66,160.26,188.83,214.71,257.3,298.01
NZE,CHA,Production|Copper|Secondary,ton,1727.8,1815.82,2227.22,2624.27,2983.92,3575.89,4141.56
NZE,EUR,Production|Copper|Secondary,ton,441.9,464.41,569.63,671.18,763.16,914.56,1059.24
NZE,IND,Production|Copper|Secondary,ton,1.59,1.67,2.05,2.42,2.75,3.29,3.82
NZE,JPN,Production|Copper|Secondary,ton,272.61,286.5,351.41,414.06,470.81,564.21,653.46
NZE,LAM,Production|Copper|Secondary,ton,52.53,55.21,67.72,79.79,90.72,108.72,125.92
NZE,MEA,Production|Copper|Secondary,ton,271.81,285.66,350.38,412.84,469.42,562.54,651.53
NZE,NEU,Production|Copper|Secondary,ton,25,26.27,32.23,37.97,43.17,51.74,59.92
NZE,OAS,Production|Copper|Secondary,ton,154.73,162.61,199.45,235.01,267.22,320.23,370.89
NZE,REF,Production|Copper|Secondary,ton,195.8,205.77,252.39,297.39,338.15,405.23,469.33
NZE,SSA,Production|Copper|Secondary,ton,11.81,12.41,15.22,17.94,20.4,24.44,28.31
NZE,USA,Production|Copper|Secondary,ton,35.34,37.14,45.55,53.67,61.03,73.14,84.71
NZE,World,Production|Nickel|Secondary,ton,0.012,0.014,0.015,0.045,0.08,0.16,0.25
NZE,World,Production|Nickel|Materials,ton,0.139,0.138,0.138,0.134,0.129,0.118,0.105
NZE,World,Production|Nickel|PGM,ton,0.189,0.189,0.189,0.183,0.176,0.161,0.144
NZE,World,Production|Nickel|Smelting16,ton,0.16,0.16,0.16,0.155,0.149,0.136,0.122
NZE,World,Production|Nickel|Smelting7,ton,0.166,0.166,0.166,0.161,0.155,0.141,0.126
NZE,World,Production|Nickel|Cobalt,ton,0.334,0.333,0.333,0.322,0.311,0.284,0.253
NZE,World,Production|Cobalt|Primary,ton,0.92,0.93,0.93,0.9,0.84,0.78,0.73
NZE,World,Production|Cobalt|Secondary,ton,0.08,0.07,0.07,0.1,0.16,0.22,0.27
NZE,World,Production|Lithium|Primary,ton,0.988,0.986,0.985,0.955,0.916,0.8,0.66
NZE,World,Production|Lithium|Secondary,ton,0.012,0.014,0.015,0.045,0.084,0.2,0.34
